gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000164543,STK17A,B,0.14206632178214218,1.7351950241809686,0.7851428571428571,0.18094327737900207,0.1036529692156219,8.958159777146881e-50,3.2903410443058267e-44
ENSG00000169100,SLC25A6,B,0.1369452717572946,2.9883229527695994,0.8982857142857142,0.15245179743973636,0.07014533123063395,3.8436381513388767e-34,1.4117721366249207e-28
ENSG00000102317,RBM3,B,0.16167615254879597,2.443301758520173,0.872,0.18540843182201372,0.13420643175552802,4.277451235612886e-64,1.5711121162918487e-58
ENSG00000157514,TSC22D3,B,0.2188950224628081,4.067457341540071,0.8685714285714285,0.25201729559862773,0.19212934016970623,1.8909941164368686e-91,6.945640299613783e-86
ENSG00000136573,BLK,B,0.32398397691539105,0.44693047536223235,0.3977142857142857,0.8146148844855379,0.23999089995108894,2.8540121467320903e-114,1.0482815155068436e-108
ENSG00000042980,ADAM28,B,0.23017844916997254,0.6565354791418049,0.45371428571428574,0.507320259505607,0.1965348261825154,1.5294368086901275e-93,5.617636692686925e-88
ENSG00000133872,SARAF,B,0.15080715982592008,3.1149334005263762,0.936,0.16111876049777785,0.11861417724374179,8.877986046280086e-57,3.2608931527847223e-51
ENSG00000104529,EEF1D,B,0.1490616183324114,5.1957027157844005,0.9691428571428572,0.1538076840104481,0.10726132205088984,1.838600507483128e-51,6.753198049990604e-46
ENSG00000241978,AKAP2,B,0.22849907334554007,0.39938622162383264,0.30628571428571427,0.7460324223035357,0.16249118898126869,2.0344909584048856e-77,7.472705635130729e-72
ENSG00000133789,SWAP70,B,0.1400460079873992,0.4912636938140664,0.3931428571428571,0.35622167729352994,0.12599970202228564,3.0532751432931516e-60,1.1214710134067178e-54
ENSG00000156738,MS4A1,B,0.7273917219872367,2.075961778168522,0.792,0.918423891398026,0.6090313535484766,1.1847106452092428e-297,4.351454046960001e-292
ENSG00000254772,EEF1G,B,0.19586874247767194,4.3523242738896855,0.9405714285714286,0.20824441028914087,0.22752140882676616,2.635134673042967e-108,9.678876005433548e-103
ENSG00000168066,SF1,B,0.14994386873328283,2.471506521090952,0.904,0.1658671114306226,0.11333129068272758,2.650272200612127e-54,9.734476295570349e-49
ENSG00000149806,FAU,B,0.15990592515713362,15.86424877953691,0.976,0.16383803807083364,0.11998956351283026,2.0119622031713324e-57,7.389957291870336e-52
ENSG00000213402,PTPRCAP,B,0.15293154287776048,1.7625788027079021,0.7942857142857143,0.19253971225617328,0.13577925756316508,7.799057498571075e-65,2.8646016182826546e-59
ENSG00000137502,RAB30,B,0.1794525742930439,0.5571163901941742,0.47085714285714286,0.38111893812236264,0.17351062505383,1.2594697583841962e-82,4.6260450172427365e-77
ENSG00000160683,CXCR5,B,0.20480501358259653,0.38216431514258725,0.336,0.6095387309005849,0.19089386904402034,7.296435064243116e-91,2.6799878955315607e-85
ENSG00000165732,DDX21,B,0.21293290292285677,2.1550146073760534,0.856,0.2487533912650196,0.21774223758889036,1.2284049126317957e-103,4.511943528145712e-98
ENSG00000110848,CD69,B,0.19184612749237545,1.927660448212679,0.7588571428571429,0.25280927945154896,0.20496968542652072,1.4931378927290402e-97,5.484310411372692e-92
ENSG00000135486,HNRNPA1,B,0.15710794247350796,4.057285642146232,0.9531428571428572,0.16483147441764923,0.13443839035682026,3.328046164457447e-64,1.2223946842513848e-58
ENSG00000196531,NACA,B,0.13834663666385077,7.894971782916299,0.9622857142857143,0.14376877325518933,0.0836573913839711,1.9449775391081823e-40,7.143921950919745e-35
ENSG00000177425,PAWR,B,0.14116896803475962,0.22274269877385747,0.224,0.630218607298034,0.10612242929402092,6.270175369482893e-51,2.3030416833864362e-45
ENSG00000133639,BTG1,B,0.23673985211351598,9.195461567173371,0.984,0.24058928060316664,0.285043377087859,6.084128077300915e-136,2.2347063269207033e-130
ENSG00000111666,CHPT1,B,0.21323517086140947,0.5491021715855353,0.48342857142857143,0.44108930142726543,0.1837119454828926,1.8596057209246494e-87,6.830350409013447e-82
